//word	wrong	right
post	te; hurry.</FONT>	te; hurry. <FONT COLOR="#404040"><i>He posted upstairs, taking three steps at once</i> (Scott). </FONT>
posthaste	ry speedy.</FONT>	ry speedy. <FONT COLOR="#404040"><i>The Duke ... requires your haste, post-haste appearance, even on the instant</i> (Shakespeare). </FONT>
postlapsarian	ll of man.</FONT>	ll of man. <FONT COLOR="#404040"><i>man's ability to establish a new secular humanism in a world not only postlapsarian, but also ... collectivist</i> (Saturday Review). </FONT>
postlude	ding part.</FONT>	ding part. <FONT COLOR="#404040"><i>He looked upon the United Nations as, in its own way, a postlude to the League of Nations</i> (New York Times). </FONT>
post office	e in 1971.</FONT>	e in 1971. <FONT COLOR="#404040"><i>The Post Office has mechanized the handling of paper work</i> (Newsweek). </FONT>
postpone	e; delay: </FONT>	e; delay:  <FONT COLOR="#404040"><i>The ball game was postponed because of rain. He postponed his departure until after supper</i> (H. G. Wells). </FONT>
premium	insurance.</FONT>	insurance. <FONT COLOR="#404040"><i>He pays premiums on his life insurance four times a year. </i></FONT>
prep	ry school.</FONT>	ry school. <FONT COLOR="#404040"><i>they went to high schools instead of prepping</i> (Harper's). </FONT>
probiotic	probiotic.</FONT>	probiotic.
ripped	toxicated.</FONT>	toxicated.
rooibos	ts leaves.</FONT>	ts leaves.
second-line	elebrants.</FONT>	elebrants.
sour	come sour.</FONT>	come sour. <FONT COLOR="#404040"><i>During their absence the food in the cupboard turned sour. </i></FONT>
source	provider.</FONT>	provider.
speedster	the like.</FONT>	the like. <FONT COLOR="#404040"><i>The new ... pleasure line will include a 14-foot outboard, a 17-foot sports speedster ... and a 25-foot deluxe cabin cruiser</i> (Wall Street Journal). </FONT>
undelete	reinsert.</FONT>	reinsert. <FONT COLOR="#404040"><i>To move a block of text, you actually have to delete the block and then "undelete" it in the new location</i> (M.S. Zachmann). </FONT>
underbid	(another).</FONT>	(another). <FONT COLOR="#404040"><i>to underbid a competitor in seeking a contract to be awarded to the lowest bidder. </i></FONT>
warn	or harm).</FONT>	or harm). <FONT COLOR="#404040"><i>The clouds warned us that a storm was coming. </i></FONT>
warning	ng notice.</FONT>	ng notice. <FONT COLOR="#404040"><i>death without warning.</i></FONT>
warp	r heating.</FONT>	r heating. <FONT COLOR="#404040"><i>Age had warped and cracked the floor boards. </i></FONT>
warrant	promise.</FONT>	promise. <FONT COLOR="#404040"><i>The storekeeper warranted the quality of the eggs. </i></FONT>
snow cone	red syrup.</FONT>	red syrup.
actability	swa> B	tuh B
adrenergic	reh nurmh>ji	reh nur ji
affectionate	uh fehsmh>sh	uh FEHK sh
ajee	uh jmh>	uh JEE
anteriority	an tihrml>ee	an tihr ee
antimissile	anml>te	an te
apogamic	wa> G	uh G
arbitrator	trma><SMALL>A</SMALL>	tray
atramentous	ruh mehsmh>tu	ruh mehn tu
bagworm	bagmh>	bag 
barrack	BAR swa>k	BAR uh k
bellied	behsmh>ee	behl ee
bentwood	behnsmh>	behnt 
binucleate	by NOO kma>eh	by NOO klee
biosocial	bma><SMALL>IH</SMALL>	<SMALL>BY</SMALL>
bookseller	pa>UH	BUK
brecciated	BREHCH ee ayml>ti	BREHCH ee ay ti
brightsome	brytmh>su	BRYT su
broker-dealer	BROH kuhr DEE swa>r	BROH kuhr DEE luhr
cabaret	uh ma>A,	uh reht
callisto	swa> L	kuh L
canaut	swa> N	kuh N
capacity	kuh PAS swa> t	kuh PAS uh t
cardioverter	km><SMALL>AR</SMALL>	<SMALL>KAHR</SMALL>
carnot cycle	uhm>ar	kahr
cedarbird	ma>EH	SEE 
celerity	suh LEHR swa> t	suh LEHR uh t
choriambic	kf><SMALL>OR</SMALL>	<SMALL>KAWR</SMALL>
chorist	kcf>OR	KOR
chula	choosmh>la	choo la
crowder	KROW swa>r	KROW duhr
crystallogeny	swa> L	tuh L
curbstone	ka>EH	KURB 
damianist	daymh>me	day me
decarburize	dee kahrmh>bu	dee KAHR bu
deplume	da>eh	dee
depressive	dih prehsmh>ih	dih PREHS ih
detribalization	da>eh	dee
differentiable	uh rehnmh>sh	uh rehn sh
duplicitous	dm>uh	doo
educatory	tma><SMALL>OR</SMALL>	<SMALL>TOHR</SMALL>
eliminator	ih LIHM uh nml>tu	ih LIHM uh nay tu
enchantress	ehn chasmh>tr	ehn CHAN tr
epifauna	-na>eh	-nee
erratum	uhm>A-	uh RA-
evolutionistic	ehvml>uh	ehv uh
exorciser	EHK sf>or	EHK sawr
fee-fo-fum	ma>EH	FEE
felid	fma>EH	FEH
fescennine	FEHS wa> n	FEHS uh n
fetishize	FEE tih shyz, fehtmh>ih	FEE tih shyz, FEHT ih-
flaneur	flah nehl>R	flah NUR
fleabane	ba><SMALL>AN</SMALL>	<SMALL>BAYN</SMALL>
formulaic	myuh lmh>ih	myuh lay ih
fourteen	fohrmh>	FOHR
front-end	FRUHNT ehnsmh>	FRUHNT ehnd
gamogenetically	uh juh nehtmh>uh	uh juh NEHT uh
glosser	glawsmh>uh	glaws uhr
graniteware	granmh>ih	GRAN iht
abdias	<a href="javascript:showEntry(' Obadiah, in the Douay Bible', 'ent_085104')" target="_top">= Obadiah, in the Douay Bible.</a>	<a href="javascript:showEntry(' Obadiah', 'ent_085104')" target="_top">= Obadiah</a>, in the Douay Bible.
abjection	<a href="javascript:showEntry(' abasement', 'ent_000072')" target="_top">= abasement.</a>	= <a href="javascript:showEntry('abasement', 'ent_000072')" target="_top">abasement</a>.
aboriginal	<a href="javascript:showEntry('aborigine', 'ent_000268')" target="_top">See <B>aborigine</B> for usage note.</a>	See <a href="javascript:showEntry('aborigine', 'ent_000268')" target="_top"><B>aborigine</B></a> for usage note.
am	<a href="javascript:showEntry('a.m.', 'ent_003793')" target="_top">See also <B>a.m.</B></a>	See also <a href="javascript:showEntry('a.m.', 'ent_003793')" target="_top"><B>a.m.</B></a>
aneurin	<a href="javascript:showEntry(' vitamin B', 'ent_126733')" target="_top">= vitamin B<SUB>1</SUB> (thiamin).</a>	= <a href="javascript:showEntry('vitamin B1', 'ent_126733')" target="_top">vitamin B</a><SUB>1</SUB> (thiamin).
antediluvianism	<a href="javascript:showEntry(' antiquatedness:', 'ent_005696')" target="_top">= antiquatedness:</a>	= <a href="javascript:showEntry('antiquatedness', 'ent_005696')" target="_top">antiquatedness</a>:
anticapitalistic	<a href="javascript:showEntry(' anticapitalist', 'ent_005456')" target="_top">= anticapitalist.</a>	= <a href="javascript:showEntry('anticapitalist', 'ent_005456')" target="_top">anticapitalist</a>.
anticly	<a href="javascript:showEntry(' grotesquely', 'ent_055904')" target="_top">= grotesquely.</a>	= <a href="javascript:showEntry('grotesquely', 'ent_055904')" target="_top">grotesquely</a>.
antimilitaristic	<a href="javascript:showEntry(' antimilitarist', 'ent_005604')" target="_top">= antimilitarist.</a>	= <a href="javascript:showEntry('antimilitarist', 'ent_005604')" target="_top">antimilitarist</a>.
antipernicious anemia factor	<a href="javascript:showEntry(' vitamin B', 'ent_136744')" target="_top">= vitamin B<SUB>12</SUB>.</a>	= <a href="javascript:showEntry('vitamin B12', 'ent_136744')" target="_top">vitamin B</a><SUB>12</SUB>.
antisocialistic	<a href="javascript:showEntry(' antisocialist', 'ent_005733')" target="_top">= antisocialist.</a>	= <a href="javascript:showEntry('antisocialist', 'ent_005733')" target="_top">antisocialist</a>.
appleton layer	<a href="javascript:showEntry(' the F layer in the ionosphere', 'ent_048248')" target="_top">= the F layer in the ionosphere.</a>	= the <a href="javascript:showEntry('F layer', 'ent_048248')" target="_top">F layer</a> in the ionosphere.
aquosity	<a href="javascript:showEntry(' wateriness', 'ent_138202')" target="_top">= wateriness.</a>	= <a href="javascript:showEntry('wateriness', 'ent_138202')" target="_top">wateriness</a>.
assentor	<a href="javascript:showEntry(' assenter', 'ent_007612')" target="_top">= assenter.</a>	= <a href="javascript:showEntry('assenter', 'ent_007612')" target="_top">assenter</a>.
assertedly	<a href="javascript:showEntry(' assertively', 'ent_007620')" target="_top">= assertively.</a>	= <a href="javascript:showEntry('assertively', 'ent_007620')" target="_top">assertively</a>.
astucity	<a href="javascript:showEntry(' astuteness', 'ent_007863')" target="_top">= astuteness.</a>	= <a href="javascript:showEntry('astuteness', 'ent_007863')" target="_top">astuteness</a>.
autonomistic	<a href="javascript:showEntry(' autonomist', 'ent_008640')" target="_top">= autonomist.</a>	= <a href="javascript:showEntry('autonomist', 'ent_008640')" target="_top">autonomist</a>.
ba	<a href="javascript:showEntry('A.B.', 'ent_000054')" target="_top">See <B>A.B.</B> for usage note.</a>	See <a href="javascript:showEntry('A.B.', 'ent_000054')" target="_top"><B>A.B.</B></a> for usage note.
baalite	<a href="javascript:showEntry(' Baalist', 'ent_009221')" target="_top">= Baalist.</a>	= <a href="javascript:showEntry('Baalist', 'ent_009221')" target="_top">Baalist</a>.
babi	<a href="javascript:showEntry(' Babist', 'ent_009253')" target="_top">= Babist.</a>	= <a href="javascript:showEntry('Babist', 'ent_009253')" target="_top">Babist</a>.
babite	<a href="javascript:showEntry(' Babist', 'ent_009253')" target="_top">= Babist.</a>	= <a href="javascript:showEntry('Babist', 'ent_009253')" target="_top">Babist</a>.
backstair	<a href="javascript:showEntry(' backstairs', 'ent_009468')" target="_top">= backstairs.</a>	= <a href="javascript:showEntry('backstairs', 'ent_009468')" target="_top">backstairs</a>.
ball pen	<a href="javascript:showEntry(' ballpoint pen', 'ent_009838')" target="_top">= ballpoint pen.</a>	= <a href="javascript:showEntry('ballpoint pen', 'ent_009838')" target="_top">ballpoint pen.</a>
bar-code	<a href="javascript:showEntry(' bar code ', 'ent_010162')" target="_top">= bar code (def. 2).</a>	= <a href="javascript:showEntry('bar code', 'ent_010162')" target="_top">bar code</a> (def. 2).
bellyflopper	<a href="javascript:showEntry(' bellywhopper', 'ent_011492')" target="_top">= bellywhopper.</a>	= <a href="javascript:showEntry('bellywhopper', 'ent_011492')" target="_top">bellywhopper</a>.
big beat	<a href="javascript:showEntry(' rocknroll', 'ent_105866')" target="_top">= rock&#146;n&#146;roll.</a>	= <a href="javascript:showEntry('rock'n'roll', 'ent_105866')" target="_top">rock'n'roll</a>.
blank	<a href="javascript:showEntry('See syn. under ', 'ent_040941')" target="_top">See syn. under <B>empty</B>.</a>	See syn. under <a href="javascript:showEntry('empty', 'ent_040941')" target="_top"><B>empty</B></a>.
blow snake	<a href="javascript:showEntry(' hognose snake', 'ent_059898')" target="_top">= hognose snake.</a>	= <a href="javascript:showEntry('hognose snake', 'ent_059898')" target="_top">hognose snake</a>.
bowls	<a href="javascript:showEntry(' skittles', 'ent_114620')" target="_top">= skittles.</a>	= <a href="javascript:showEntry('skittles', 'ent_114620')" target="_top">skittles</a>.
bug	<a href="javascript:showEntry(' bedbug', 'ent_011083')" target="_top">= bedbug.</a>	= <a href="javascript:showEntry('bed bug', 'ent_011083')" target="_top">bedbug</a>.
caltrop	<a href="javascript:showEntry(' water chestnut or water caltrop', 'ent_138001')" target="_top">= water chestnut or water caltrop.</a>	= <a href="javascript:showEntry('water chestnut', 'ent_138001')" target="_top">water chestnut</a> or <a href="javascript:showEntry('water caltrop', 'ent_138001')" target="_top">water caltrop</a>.
camass	<a href="javascript:showEntry(' death camass', 'ent_031469')" target="_top">= death camass.</a>	= <a href="javascript:showEntry('death camass', 'ent_031469')" target="_top">death camass</a>.
canticle of canticles	<a href="javascript:showEntry(' Song of Solomon, in the Douay Bible', 'ent_116549')" target="_top">= Song of Solomon, in the Douay Bible.</a>	= <a href="javascript:showEntry('Song of Solomon', 'ent_116549')" target="_top">Song of Solomon</a>, in the Douay Bible.
cantus planus	<a href="javascript:showEntry(' plain song', 'ent_094064')" target="_top">= plain song.</a>	= <a href="javascript:showEntry('plain song', 'ent_094064')" target="_top">plain song</a>.
casino	<a href="javascript:showEntry(' casino, a card game', 'ent_019312')" target="_top">= casino, a card game.</a>	= <a href="javascript:showEntry('casino', 'ent_019312')" target="_top">casino</a>, a card game.
categorist	<a href="javascript:showEntry(' categorizer', 'ent_019612')" target="_top">= categorizer.</a>	= <a href="javascript:showEntry('categorizer', 'ent_019612')" target="_top">categorizer</a>.
catherine wheel	<a href="javascript:showEntry(' cartwheel, a kind of handspring', 'ent_019179')" target="_top">= cartwheel, a kind of handspring.</a>	= <a href="javascript:showEntry('cartwheel', 'ent_019179')" target="_top">cartwheel</a>, a kind of handspring.
chamber	<a href="javascript:showEntry(' a chamber pot', 'ent_020730')" target="_top">= a chamber pot.</a>	= a <a href="javascript:showEntry('chamber pot', 'ent_020730')" target="_top">chamber pot</a>.
chaser	<a href="javascript:showEntry(' steeplechaser', 'ent_119379')" target="_top">= steeplechaser.</a>	= <a href="javascript:showEntry('steeplechaser', 'ent_119379')" target="_top">steeplechaser</a>.
chinch	<a href="javascript:showEntry(' bedbug', 'ent_011083')" target="_top">= bedbug.</a>	= <a href="javascript:showEntry('bed bug', 'ent_011083')" target="_top">bedbug</a>.
chine	<a href="javascript:showEntry(' chime or chimb', 'ent_021612')" target="_top">= chime or chimb.</a>	= <a href="javascript:showEntry('chime', 'ent_021612')" target="_top">chime</a> or <a href="javascript:showEntry('chimb', 'ent_021612')" target="_top">chimb</a>.
chinese wall	<a href="javascript:showEntry(' The Great Wall of China', 'ent_055531')" target="_top">= The Great Wall of China.</a>	= <a href="javascript:showEntry('Great Wall of China', 'ent_055531')" target="_top">The Great Wall of China</a>.
cigar-store indian	<a href="javascript:showEntry(' wooden statue', 'ent_140298')" target="_top">= wooden statue</a>	= wooden statue.
cine-verite	<a href="javascript:showEntry(' cinma vrit', 'ent_022605')" target="_top">= cin&#x00E9;ma v&#x00E9;rit&#x00E9;.</a>	= <a href="javascript:showEntry('cinema verite', 'ent_022605')" target="_top">cin&#x00E9;ma v&#x00E9;rit&#x00E9; </a>.
clavecinist	<a href="javascript:showEntry(' harpsichordist', 'ent_057651')" target="_top">= harpsichordist.</a>	= <a href="javascript:showEntry('harpsichordist', 'ent_057651')" target="_top">harpsichordist</a>.
cloud of magellan	<a href="javascript:showEntry(' Magellanic Clouds', 'ent_074663')" target="_top">= Magellanic Clouds.</a>	= <a href="javascript:showEntry('Magellanic Cloud', 'ent_074663')" target="_top">Magellanic Cloud</a>.
cobalamin	<a href="javascript:showEntry(' vitamin B', 'ent_136744')" target="_top">= vitamin B<SUB>12</SUB>.</a>	= <a href="javascript:showEntry('vitamin B12', 'ent_136744')" target="_top">vitamin B</a><SUB>12</SUB>.
companionability	<a href="javascript:showEntry(' companionableness', 'ent_025224')" target="_top">= companionableness.</a>	= <a href="javascript:showEntry('companionableness', 'ent_025224')" target="_top">companionableness</a>.
compliably	<a href="javascript:showEntry(' compliantly', 'ent_025371')" target="_top">= compliantly.</a>	= <a href="javascript:showEntry('compliantly', 'ent_025371')" target="_top">compliantly</a>.
confederate states of america	<a href="javascript:showEntry(' the Confederacy', 'ent_025853')" target="_top">= the Confederacy.</a>	= <a href="javascript:showEntry('the Confederacy', 'ent_025853')" target="_top">the Confederacy</a>.
cong	<a href="javascript:showEntry(' Vietcong', 'ent_136284')" target="_top">= Vietcong.</a>	= <a href="javascript:showEntry('Viet cong', 'ent_136284')" target="_top">Vietcong</a>.
conics	<a href="javascript:showEntry(' conic sections', 'ent_026077')" target="_top">= conic sections.</a>	= <a href="javascript:showEntry('conic sections', 'ent_026077')" target="_top">conic sections</a>.
consumption goods	<a href="javascript:showEntry(' consumer goods', 'ent_026427')" target="_top">= consumer goods.</a>	= consumer goods.
corrosible	<a href="javascript:showEntry(' corrodible', 'ent_027482')" target="_top">= corrodible.</a>	= <a href="javascript:showEntry('corrodible', 'ent_027482')" target="_top">corrodible</a>.
cosily	<a href="javascript:showEntry(' cozily', 'ent_028233')" target="_top">= cozily.</a>	= <a href="javascript:showEntry('cozily', 'ent_028233')" target="_top">cozily</a>.
cosiness	<a href="javascript:showEntry(' coziness', 'ent_028233')" target="_top">= coziness.</a>	= <a href="javascript:showEntry('coziness', 'ent_028233')" target="_top">coziness</a>.
costive	<a href="javascript:showEntry(' constipated', 'ent_026354')" target="_top">= constipated.</a>	= <a href="javascript:showEntry('constipate', 'ent_026354')" target="_top">constipated</a>.
crush	<a href="javascript:showEntry(' crushings', 'ent_029215')" target="_top">= crushings.</a>	= <a href="javascript:showEntry('crushings', 'ent_029215')" target="_top">crushings</a>.
curling tongs	<a href="javascript:showEntry(' curling irons', 'ent_029808')" target="_top">= curling irons.</a>	= <a href="javascript:showEntry('curling irons', 'ent_029808')" target="_top">curling irons</a>.
daemonically	<a href="javascript:showEntry(' demonically', 'ent_032718')" target="_top">= demonically.</a>	= <a href="javascript:showEntry('demonically', 'ent_032718')" target="_top">demonically</a>.
debouch	<a href="javascript:showEntry(' dbouch', 'ent_031564')" target="_top">= d&#x00E9;bouch&#x00E9;.</a>	= <a href="javascript:showEntry('debouche', 'ent_031564')" target="_top">d&#x00E9;bouch&#x00E9;</a>.
do-si-do	<a href="javascript:showEntry(' dos--dos ', 'ent_036981')" target="_top">= dos-&#x00E0;-dos (def. 1).</a>	= <a href="javascript:showEntry('dos-a-dos', 'ent_036981')" target="_top">dos-a-dos</a> (def. 1).
fieldwork	<a href="javascript:showEntry(' field work', 'ent_047094')" target="_top">= field work.</a>	= <a href="javascript:showEntry('field work', 'ent_047094')" target="_top">field work</a>.
flog	<a href="javascript:showEntry('Compare Latin ', 'ent_000000')" target="_top">Compare Latin <i>flagell&#x0101;re</i> to whip.</a>	Compare Latin <i>flagell&#x0101;re</i> to whip.
foolscap	<a href="javascript:showEntry(' fools cap', 'ent_049225')" target="_top">= fool&#146;s cap.</a>	= <a href="javascript:showEntry('fool's cap', 'ent_049225')" target="_top">fool&rsquo;s cap</a>.
galeeny	<a href="javascript:showEntry(' guinea fowl', 'ent_056322')" target="_top">= guinea fowl.</a>	= <a href="javascript:showEntry('guineafowl', 'ent_056322')" target="_top">guineafowl</a>.
gelsemium	<a href="javascript:showEntry(' yellow jas', 'ent_141270')" target="_top">= yellow jasmine.</a>	= <a href="javascript:showEntry('yellow jasmine', 'ent_141270')" target="_top">yellow jasmine</a>.
greenbelt	<a href="javascript:showEntry(' green belt', 'ent_055582')" target="_top">= green belt.</a>	= <a href="javascript:showEntry('green belt', 'ent_055582')" target="_top">green belt</a>.
grip	<a href="javascript:showEntry('influenze', 'ent_064490')" target="_top">influenze.</a>	<a href="javascript:showEntry('influenza', 'ent_064490')" target="_top">influenza</a>.
guinea	<a href="javascript:showEntry(' guinea fowl', 'ent_056322')" target="_top">= guinea fowl.</a>	= <a href="javascript:showEntry('guineafowl', 'ent_056322')" target="_top">guineafowl</a>.
guinea hen	<a href="javascript:showEntry(' guinea fowl', 'ent_056322')" target="_top">= guinea fowl.</a>	= <a href="javascript:showEntry('guineafowl', 'ent_056322')" target="_top">guineafowl</a>.
hand	<a href="javascript:showEntry('free hand', 'ent_050313')" target="_top">See under <B>free hand</B>.</a>	See under <a href="javascript:showEntry('free hand', 'ent_050313')" target="_top"><B>free hand</B></a>.
homy	<a href="javascript:showEntry(' homey', 'ent_060184')" target="_top">= homey.</a>	= <a href="javascript:showEntry('homey', 'ent_060184')" target="_top">homey</a>.
humblebee	<a href="javascript:showEntry(' bumblebee', 'ent_016419')" target="_top">= bumblebee.</a>	= <a href="javascript:showEntry('bumble bee', 'ent_016419')" target="_top">bumble bee</a>.
hypermetropia	<a href="javascript:showEntry(' far-sightedness', 'ent_000000')" target="_top">= far-sightedness.</a>	= <a href="javascript:showEntry('farsightedness', 'ent_000000')" target="_top">farsightedness</a>.
hypermetropic	<a href="javascript:showEntry(' having to do with or affected by hypermetropia', 'ent_061749')" target="_top">= having to do with or affected by hypermetropia</a>	having to do with or affected by hypermetropia
hypermetropic	<a href="javascript:showEntry('farsighted', 'ent_045938')" target="_top">farsighted.</a>	<a href="javascript:showEntry('farsighted', 'ent_045938')" target="_top">farsighted</a>.
information highway	<a href="javascript:showEntry(' data highway', 'ent_031136')" target="_top">= data highway.</a>	= <a href="javascript:showEntry('data highway', 'ent_031136')" target="_top">data highway</a>.
khoikhoi	<a href="javascript:showEntry('a people of Africa, formerly called Hottentot', 'ent_060780')" target="_top">a people of Africa, formerly called Hottentot.</a>	a people of Africa, formerly called <a href="javascript:showEntry('Hottentot', 'ent_060780')" target="_top">Hottentot</a>.
koran	<a href="javascript:showEntry(' Qur\&#39;n', 'ent_100802')" target="_top">= Qur'&#x0101;n.</a>	= <a href="javascript:showEntry('Qur'an', 'ent_100802')" target="_top">Qur'&#x0101;n</a>.
koranic	<a href="javascript:showEntry(' Qur\&#39;nic', 'ent_142371')" target="_top">= Qur'&#x0101;nic</a>	= <a href="javascript:showEntry('Qur'anic', 'ent_142371')" target="_top">Qur'&#x0101;nic</a>
latin	<a href="javascript:showEntry(' Latin American', 'ent_070684')" target="_top">= Latin American</a>	= <a href="javascript:showEntry('Latin American', 'ent_070684')" target="_top">Latin American</a>
latino	<a href="javascript:showEntry(' Latin American', 'ent_070684')" target="_top">= Latin American.</a>	= <a href="javascript:showEntry('Latin American', 'ent_070684')" target="_top">Latin American</a>.
lie	<a href="javascript:showEntry('take lying down', 'ent_000000')" target="_top">See <B>take lying down</B> below.</a>	See <a href="javascript:showEntry('take lying down', 'ent_000000')" target="_top"><B>take lying down</B></a> below.
mantelpiece	<a href="javascript:showEntry(' mantel; chimney piece', 'ent_075562')" target="_top">= mantel (def. 2); chimney piece.</a>	= <a href="javascript:showEntry('mantel', 'ent_075562')" target="_top">mantel</a> (def. 2); chimney piece.
mean solar time	<a href="javascript:showEntry(' mean time', 'ent_076610')" target="_top">= mean time.</a>	= <a href="javascript:showEntry('mean time', 'ent_076610')" target="_top">mean time</a>.
mongolism	<a href="javascript:showEntry(' Down\&#39;s syndrome', 'ent_037346')" target="_top">= Down's syndrome.</a>	= <a href="javascript:showEntry('Down syndrome', 'ent_037346')" target="_top">Down's syndrome</a>.
mu	<a href="javascript:showEntry(' micron, a unit of length', 'ent_078113')" target="_top">= micron, a unit of length.</a>	= <a href="javascript:showEntry('micron', 'ent_078113')" target="_top">micron</a>, a unit of length.
mutuel	<a href="javascript:showEntry(' parimutuel', 'ent_089761')" target="_top">= parimutuel.</a>	= <a href="javascript:showEntry('parimutuel', 'ent_089761')" target="_top">parimutuel</a>.
necropsy	<a href="javascript:showEntry('post-mortem examination', 'ent_095945')" target="_top">post-mortem examination.</a>	post-mortem examination.
nightclub	<a href="javascript:showEntry(' night club', 'ent_083633')" target="_top">= night club.</a>	= <a href="javascript:showEntry('night club', 'ent_083633')" target="_top">night club</a>.
of	<a href="javascript:showEntry('off', 'ent_085599')" target="_top">see etym. under <B>off</B></a>	see etym. under <a href="javascript:showEntry('off', 'ent_085599')" target="_top"><B>off</B></a>
of	<a href="javascript:showEntry('off', 'ent_085599')" target="_top">See idiom under <B>off</B>.</a>	See idiom under <a href="javascript:showEntry('off', 'ent_085599')" target="_top"><B>off</B></a>.
parent-teacher association	<a href="javascript:showEntry('P.T.A.', 'ent_098766')" target="_top">See <B>P.T.A.</B></a>	See <a href="javascript:showEntry('P.T.A.', 'ent_098766')" target="_top"><B>P.T.A.</B></a>
precipitation	<a href="javascript:showEntry(' materialization (in spiritualism)', 'ent_076270')" target="_top">= materialization (in spiritualism).</a>	= <a href="javascript:showEntry('materialization', 'ent_076270')" target="_top">materialization</a> (in spiritualism).
prefab	<a href="javascript:showEntry(' prefabricated', 'ent_096608')" target="_top">= prefabricated.</a>	= <a href="javascript:showEntry('prefabricate', 'ent_096608')" target="_top">prefabricated</a>.
prop wash	<a href="javascript:showEntry(' slip stream', 'ent_115091')" target="_top">= slip stream.</a>	= <a href="javascript:showEntry('slip stream', 'ent_115091')" target="_top">slip stream</a>.
provenly	<a href="javascript:showEntry(' provably', 'ent_098325')" target="_top">= provably.</a>	= <a href="javascript:showEntry('provably', 'ent_098325')" target="_top">provably</a>.
pterygoid	<a href="javascript:showEntry(' winglike', 'ent_139840')" target="_top">= winglike.</a>	= <a href="javascript:showEntry('winglike', 'ent_139840')" target="_top">winglike</a>.
rally	<a href="javascript:showEntry('See etym. of ', 'ent_101267')" target="_top">See etym. of doublet <B>rail</B><SUP>2</SUP>.</a>	See etym. of doublet <a href="javascript:showEntry('rail', 'ent_101267')" target="_top"><B>rail</B></a><SUP>2</SUP>.</a>
reader	<a href="javascript:showEntry('proofreader', 'ent_000000')" target="_top">=proofreader.</a>	= <a href="javascript:showEntry('proofreader', 'ent_000000')" target="_top">proofreader</a>.
recollect	<a href="javascript:showEntry('re-collect', 'ent_102299')" target="_top">see etym. under <B>re-collect</B></a>	see etym. under <a href="javascript:showEntry('re-collect', 'ent_102299')" target="_top"><B>re-collect</B></a>
redpoll	<a href="javascript:showEntry(' Red Polled', 'ent_102781')" target="_top">= Red Polled.</a>	= <a href="javascript:showEntry('Red Polled', 'ent_102781')" target="_top">Red Polled</a>.
rock-and-roll	<a href="javascript:showEntry(' rocknroll', 'ent_105866')" target="_top">= rock&#146;n&#146;roll.</a>	= <a href="javascript:showEntry('rock'n'roll', 'ent_105866')" target="_top">rock&rsquo;n&rsquo;roll</a>.
roentgen ray	<a href="javascript:showEntry(' X ray', 'ent_140990')" target="_top">= X ray.</a>	= <a href="javascript:showEntry('X ray', 'ent_140990')" target="_top">X ray</a>.
rontgen ray	<a href="javascript:showEntry(' X ray', 'ent_140990')" target="_top">= X ray.</a>	= <a href="javascript:showEntry('X ray', 'ent_140990')" target="_top">X ray</a>.
sheria	<a href="javascript:showEntry(' Sharia', 'ent_112317')" target="_top">= Sharia.</a>	= <a href="javascript:showEntry('Sharia', 'ent_112317')" target="_top">Sharia</a>.
solid propellant	<a href="javascript:showEntry(' solid fuel', 'ent_116342')" target="_top">= solid fuel.</a>	= <a href="javascript:showEntry('solid fuel', 'ent_116342')" target="_top">solid fuel</a>.
sowcar	<a href="javascript:showEntry(' soucar', 'ent_116764')" target="_top">= soucar.</a>	= <a href="javascript:showEntry('soucar', 'ent_116764')" target="_top">soucar</a>.
supper club	<a href="javascript:showEntry(' night club', 'ent_083633')" target="_top">= night club.</a>	= <a href="javascript:showEntry('night club', 'ent_083633')" target="_top">night club</a>.
suprarenal	<a href="javascript:showEntry(' suprarenal gland, body, or capsule', 'ent_122561')" target="_top">= suprarenal gland, body, or capsule.</a>	= <a href="javascript:showEntry('suprarenal gland', 'ent_122561')" target="_top">suprarenal gland</a>, body, or capsule.
thesis play	<a href="javascript:showEntry(' drame thse', 'ent_037570')" target="_top">= drame &#x00E0; th&#x00E8;se.</a>	= <a href="javascript:showEntry('drame a these', 'ent_037570')" target="_top">drame &#x00E0; th&#x00E8;se</a>.
thob	<a href="javascript:showEntry(' tobe', 'ent_127900')" target="_top">= tobe.</a>	= <a href="javascript:showEntry('tobe', 'ent_127900')" target="_top">tobe</a>.
time lock	<a href="javascript:showEntry(' time recording lock', 'ent_127564')" target="_top">= time recording lock.</a>	= <a href="javascript:showEntry('time-recording lock', 'ent_127564')" target="_top">time-recording lock</a>.
tob	<a href="javascript:showEntry(' tobe', 'ent_127900')" target="_top">= tobe.</a>	= <a href="javascript:showEntry('tobe', 'ent_127900')" target="_top">tobe</a>.
tritoma	<a href="javascript:showEntry(' the plant red-hot poker', 'ent_102691')" target="_top">= the plant red-hot poker.</a>	= the plant <a href="javascript:showEntry('red-hot poker', 'ent_102691')" target="_top">red-hot poker</a>.
tshi	<a href="javascript:showEntry(' Twi', 'ent_131029')" target="_top">= Twi.</a>	= <a href="javascript:showEntry('Twi', 'ent_131029')" target="_top">Twi</a>.
unbroke	<a href="javascript:showEntry(' unbroken', 'ent_131930')" target="_top">= unbroken.</a>	= <a href="javascript:showEntry('unbroken', 'ent_131930')" target="_top">unbroken</a>.
